row,channel,visits,cost,contacts,date_time,spot
39,J,-29.4,1512.5,80333.33333333333,2018-12-23 16:04:00,3859_Winter-Time_25_Beta
40,F,274.05,322.5,129000.0,2018-12-23 16:40:00,3976_At-least-a-week_90_FPV
41,I,424.2,322.5,354333.3333333333,2018-12-23 17:11:00,4200_Square-One_90_Abba
42,I,-150.15,322.5,73000.0,2018-12-23 18:01:00,4189_OneItemPieceOfPaper_25_Abba
43,C,-108.15,2375.0,37666.666666666664,2018-12-23 18:28:00,4046_At-least-a-week_25_FPV
44,F,134.4,322.5,142000.0,2018-12-23 18:34:00,3968_Roomservice_25_FPV
45,I,-412.65,322.5,11666.666666666666,2018-12-23 18:39:00,4189_OneItemPieceOfPaper_25_Abba
46,C,-211.05,10257.5,162000.0,2018-12-23 18:45:00,3968_Roomservice_25_FPV
47,C,-118.65,1187.5,25666.666666666668,2018-12-23 18:56:00,3859_Winter-Time_25_Beta
48,K,7.35,6480.0,61000.0,2018-12-23 19:43:00,4046_At-least-a-week_25_FPV
49,I,-159.6,322.5,15666.666666666666,2018-12-23 19:57:00,4195_Receptionist_90_Abba
50,K,98.7,1295.0,0.0,2018-12-23 02:45:00,3844_Winter-Time_90_Beta
51,I,378.0,322.5,56000.0,2018-12-23 20:08:00,4189_OneItemPieceOfPaper_25_Abba
52,D,436.8,3022.5,64333.333333333336,2018-12-23 21:28:00,3859_Winter-Time_25_Beta
53,A,-13.65,6480.0,211666.66666666666,2018-12-23 22:16:00,3968_Roomservice_25_FPV
54,I,139.65,322.5,45333.333333333336,2018-12-23 22:26:00,4189_OneItemPieceOfPaper_25_Abba
55,F,21.0,322.5,73000.0,2018-12-23 22:34:00,3964_TheView_25_FPV
56,A,-143.85,322.5,1666.6666666666667,2018-12-24 01:08:00,4200_Square-One_90_Abba
57,H,334.95,3887.5,178000.0,2018-12-24 01:25:00,3974_Roomservice_90_FPV
58,D,-31.5,2592.5,18000.0,2018-12-24 01:35:00,3844_Winter-Time_90_Beta
59,H,211.05,1942.5,186000.0,2018-12-24 01:51:00,3859_Winter-Time_25_Beta
60,H,54.6,1187.5,167333.33333333334,2018-12-24 02:26:00,3844_Winter-Time_90_Beta
61,E,44.1,0.0,22666.666666666668,2018-12-24 02:31:00,3859_Winter-Time_25_Beta
62,C,65.10000000000001,260.0,97333.33333333333,2018-12-24 03:48:00,3968_Roomservice_25_FPV
63,C,-162.75,107.5,8333.333333333334,2018-12-24 04:10:00,3844_Winter-Time_90_Beta
64,C,173.25,190.0,40333.333333333336,2018-12-24 04:17:00,3964_TheView_25_FPV
65,C,-90.3,55.0,7000.0,2018-12-24 05:07:00,3859_Winter-Time_25_Beta
66,C,28.35,107.5,5666.666666666667,2018-12-24 05:39:00,3844_Winter-Time_90_Beta
67,E,-86.1,32.5,13666.666666666666,2018-12-24 05:46:00,4046_At-least-a-week_25_FPV
68,G,118.65,0.0,3000.0,2018-12-24 05:58:00,3836_TheView_90_FPV
69,J,163.79999999999998,292.5,9333.333333333334,2018-12-24 06:23:00,3844_Winter-Time_90_Beta
70,C,-31.5,1080.0,96333.33333333333,2018-12-24 06:43:00,3859_Winter-Time_25_Beta
71,C,-6.3,1727.5,161333.33333333334,2018-12-24 06:49:00,3859_Winter-Time_25_Beta
72,C,-86.1,107.5,5666.666666666667,2018-12-24 06:57:00,4046_At-least-a-week_25_FPV
73,H,25.2,647.5,45666.666666666664,2018-12-24 07:20:00,3859_Winter-Time_25_Beta
74,J,149.1,147.5,13333.333333333334,2018-12-24 07:32:00,4046_At-least-a-week_25_FPV
75,C,271.95,1080.0,86333.33333333333,2018-12-24 07:42:00,3968_Roomservice_25_FPV
76,C,15.75,1080.0,75333.33333333333,2018-12-24 08:13:00,3859_Winter-Time_25_Beta
77,C,5.25,325.0,0.0,2018-12-24 08:24:00,3859_Winter-Time_25_Beta
78,L,-244.65,497.5,8333.333333333334,2018-12-24 08:30:00,4039_Winter-Time_60_Beta
79,C,57.75,1080.0,73000.0,2018-12-24 08:42:00,4046_At-least-a-week_25_FPV
80,E,532.35,562.5,13333.333333333334,2018-12-24 08:47:00,3844_Winter-Time_90_Beta
81,C,-315.0,1512.5,73333.33333333333,2018-12-24 09:02:00,3968_Roomservice_25_FPV
82,H,341.25,3240.0,75666.66666666667,2018-12-24 09:08:00,3836_TheView_90_FPV
83,K,330.75,972.5,37333.333333333336,2018-12-24 09:53:00,3859_Winter-Time_25_Beta
84,C,-281.40000000000003,1512.5,70000.0,2018-12-24 10:03:00,4046_At-least-a-week_25_FPV
85,C,233.1,1512.5,85000.0,2018-12-24 11:14:00,3859_Winter-Time_25_Beta
86,F,-107.1,322.5,64000.0,2018-12-24 12:06:00,3844_Winter-Time_90_Beta
87,I,574.35,322.5,147333.33333333334,2018-12-24 12:15:00,4202_Matched_90_Abba
88,D,215.25,647.5,41333.333333333336,2018-12-24 12:30:00,3974_Roomservice_90_FPV
89,M,1314.6000000000001,29802.5,967333.3333333334,2018-12-24 12:53:00,3974_Roomservice_90_FPV
90,A,317.09999999999997,1187.5,55666.666666666664,2018-12-24 13:25:00,3859_Winter-Time_25_Beta
91,E,133.35,1512.5,64666.666666666664,2018-12-24 13:58:00,3974_Roomservice_90_FPV
92,M,928.2,0.0,646333.3333333334,2018-12-24 14:41:00,3953_Projector_90_FPV
93,E,105.0,1405.0,58000.0,2018-12-24 15:05:00,3859_Winter-Time_25_Beta
94,K,312.90000000000003,6910.0,151333.33333333334,2018-12-24 15:39:00,3836_TheView_90_FPV
95,E,388.5,540.0,48666.666666666664,2018-12-24 17:15:00,3964_TheView_25_FPV
96,I,221.55,322.5,41000.0,2018-12-24 17:36:00,4202_Matched_90_Abba
97,J,302.40000000000003,310.0,21000.0,2018-12-24 19:29:00,3859_Winter-Time_25_Beta
98,L,-106.05,1512.5,32666.666666666668,2018-12-24 19:36:00,3844_Winter-Time_90_Beta
99,K,84.0,647.5,0.0,2018-12-24 02:53:00,3964_TheView_25_FPV
100,K,-14.7,215.0,0.0,2018-12-24 04:50:00,3859_Winter-Time_25_Beta
101,K,-197.4,432.5,0.0,2018-12-24 05:50:00,3844_Winter-Time_90_Beta
102,C,-506.1,245.0,25333.333333333332,2018-12-24 20:13:00,3859_Winter-Time_25_Beta
103,C,-147.0,2375.0,77333.33333333333,2018-12-24 20:27:00,3859_Winter-Time_25_Beta
104,I,-307.65000000000003,322.5,33666.666666666664,2018-12-24 21:20:00,4189_OneItemPieceOfPaper_25_Abba
105,A,28.35,6480.0,222333.33333333334,2018-12-24 22:16:00,3859_Winter-Time_25_Beta
106,N,416.85,10257.5,0.0,2018-12-24 22:24:00,3859_Winter-Time_25_Beta
107,A,560.6999999999999,6480.0,206000.0,2018-12-24 22:40:00,4046_At-least-a-week_25_FPV
108,C,85.05,245.0,24000.0,2018-12-24 22:45:00,3964_TheView_25_FPV
109,C,408.45,3672.5,235000.0,2018-12-24 23:35:00,3964_TheView_25_FPV
110,C,-194.25,107.5,11666.666666666666,2018-12-25 00:26:00,3859_Winter-Time_25_Beta
111,J,224.7,125.0,12666.666666666666,2018-12-25 01:05:00,3859_Winter-Time_25_Beta
112,J,-203.7,247.5,11000.0,2018-12-25 01:15:00,3976_At-least-a-week_90_FPV
113,H,-32.550000000000004,1942.5,112333.33333333333,2018-12-25 01:41:00,3859_Winter-Time_25_Beta
114,J,179.55,247.5,8333.333333333334,2018-12-25 01:46:00,3844_Winter-Time_90_Beta
115,J,85.05,1165.0,41666.666666666664,2018-12-25 02:09:00,3974_Roomservice_90_FPV
116,A,-226.8,1620.0,73666.66666666667,2018-12-25 02:40:00,3859_Winter-Time_25_Beta
117,C,-113.4,190.0,31666.666666666668,2018-12-25 03:01:00,4046_At-least-a-week_25_FPV
118,K,-15.75,485.0,46666.666666666664,2018-12-25 03:14:00,3974_Roomservice_90_FPV
119,C,49.35,517.5,155000.0,2018-12-25 03:20:00,3974_Roomservice_90_FPV
120,C,-112.35,107.5,7333.333333333333,2018-12-25 03:26:00,3836_TheView_90_FPV
121,C,-45.15,260.0,143333.33333333334,2018-12-25 03:46:00,3859_Winter-Time_25_Beta
122,K,-42.0,865.0,26333.333333333332,2018-12-25 03:54:00,3964_TheView_25_FPV
123,E,166.95000000000002,0.0,19333.333333333332,2018-12-25 04:15:00,3859_Winter-Time_25_Beta
124,C,-85.05,55.0,10000.0,2018-12-25 04:55:00,3859_Winter-Time_25_Beta
125,J,196.35,75.0,11000.0,2018-12-25 05:10:00,3859_Winter-Time_25_Beta
126,G,175.35,0.0,5333.333333333333,2018-12-25 05:58:00,3974_Roomservice_90_FPV
127,C,151.20000000000002,162.5,3666.6666666666665,2018-12-25 06:06:00,3844_Winter-Time_90_Beta
128,C,388.5,1512.5,50000.0,2018-12-25 06:11:00,3859_Winter-Time_25_Beta
129,E,148.04999999999998,280.0,14333.333333333334,2018-12-25 06:20:00,3964_TheView_25_FPV
130,C,74.55,3455.0,173666.66666666666,2018-12-25 06:36:00,3844_Winter-Time_90_Beta
131,C,443.1,3455.0,160000.0,2018-12-25 06:54:00,3836_TheView_90_FPV
132,C,22.05,82.5,5000.0,2018-12-25 07:06:00,3859_Winter-Time_25_Beta
133,C,9.450000000000001,107.5,12333.333333333334,2018-12-25 07:12:00,4046_At-least-a-week_25_FPV
134,G,214.2,65.0,11666.666666666666,2018-12-25 07:17:00,3976_At-least-a-week_90_FPV
135,C,-150.15,107.5,15333.333333333334,2018-12-25 07:28:00,3859_Winter-Time_25_Beta
136,C,-8.4,107.5,4666.666666666667,2018-12-25 08:15:00,3964_TheView_25_FPV
137,H,-88.2,1620.0,82000.0,2018-12-25 09:22:00,4046_At-least-a-week_25_FPV
138,K,-96.6,3240.0,135333.33333333334,2018-12-25 10:03:00,3844_Winter-Time_90_Beta
139,C,-277.2,647.5,23666.666666666668,2018-12-25 10:08:00,3953_Projector_90_FPV
140,C,99.75,1187.5,35333.333333333336,2018-12-25 10:14:00,3859_Winter-Time_25_Beta
141,I,155.4,322.5,12666.666666666666,2018-12-25 10:27:00,4213_Adventure-Holiday_25_Abba
142,C,175.35,325.0,17333.333333333332,2018-12-25 10:35:00,3859_Winter-Time_25_Beta
143,F,-31.5,322.5,116000.0,2018-12-25 11:08:00,3844_Winter-Time_90_Beta
144,H,-216.3,5400.0,115000.0,2018-12-25 12:07:00,3976_At-least-a-week_90_FPV
145,F,-273.0,322.5,84333.33333333333,2018-12-25 12:37:00,4046_At-least-a-week_25_FPV
146,E,-43.05,387.5,12000.0,2018-12-25 12:42:00,3844_Winter-Time_90_Beta
147,A,499.8,322.5,11000.0,2018-12-25 12:51:00,4200_Square-One_90_Abba
148,F,574.35,322.5,113333.33333333333,2018-12-25 13:07:00,3859_Winter-Time_25_Beta
149,J,78.75,627.5,45333.333333333336,2018-12-25 13:19:00,3859_Winter-Time_25_Beta
150,C,130.20000000000002,432.5,16000.0,2018-12-25 13:33:00,3859_Winter-Time_25_Beta
151,C,-119.7,1187.5,32333.333333333332,2018-12-25 13:58:00,3859_Winter-Time_25_Beta
152,H,-248.85,2700.0,206666.66666666666,2018-12-25 14:27:00,3968_Roomservice_25_FPV
153,F,266.7,322.5,139666.66666666666,2018-12-25 14:35:00,3964_TheView_25_FPV
154,J,222.6,777.5,13333.333333333334,2018-12-25 14:50:00,3974_Roomservice_90_FPV
155,A,-4.2,322.5,0.0,2018-12-25 15:07:00,4202_Matched_90_Abba
156,K,-157.5,3455.0,102666.66666666667,2018-12-25 15:15:00,3859_Winter-Time_25_Beta
157,F,-402.15,322.5,100333.33333333333,2018-12-25 15:53:00,3859_Winter-Time_25_Beta
158,E,350.7,410.0,19666.666666666668,2018-12-25 16:06:00,3859_Winter-Time_25_Beta
159,D,-273.0,972.5,17666.666666666668,2018-12-25 16:22:00,4046_At-least-a-week_25_FPV
160,E,-26.25,410.0,15000.0,2018-12-25 17:17:00,3964_TheView_25_FPV
161,K,301.34999999999997,6910.0,144000.0,2018-12-25 17:28:00,3844_Winter-Time_90_Beta
162,F,660.4499999999999,322.5,191666.66666666666,2018-12-25 17:35:00,3859_Winter-Time_25_Beta
163,I,142.79999999999998,322.5,59666.666666666664,2018-12-25 17:41:00,4213_Adventure-Holiday_25_Abba
164,I,227.85,322.5,4000.0,2018-12-25 17:51:00,4200_Square-One_90_Abba
165,C,300.3,10257.5,106000.0,2018-12-25 18:06:00,3859_Winter-Time_25_Beta
166,C,218.4,10257.5,120333.33333333333,2018-12-25 18:35:00,3968_Roomservice_25_FPV
167,G,119.7,97.5,11000.0,2018-12-25 19:37:00,3859_Winter-Time_25_Beta
168,E,463.05,2700.0,80333.33333333333,2018-12-25 20:09:00,3844_Winter-Time_90_Beta
169,C,-8.4,755.0,40333.333333333336,2018-12-25 20:19:00,3844_Winter-Time_90_Beta
170,I,575.4,322.5,19333.333333333332,2018-12-25 20:31:00,4202_Matched_90_Abba
171,L,73.5,1512.5,34666.666666666664,2018-12-25 20:39:00,3953_Projector_90_FPV
172,E,559.65,810.0,34666.666666666664,2018-12-25 20:46:00,3859_Winter-Time_25_Beta
173,K,344.4,5940.0,198000.0,2018-12-25 20:51:00,3964_TheView_25_FPV
174,J,102.9,540.0,23000.0,2018-12-25 21:05:00,3859_Winter-Time_25_Beta
175,I,183.75,322.5,30333.333333333332,2018-12-25 21:12:00,4189_OneItemPieceOfPaper_25_Abba
176,I,169.05,322.5,104000.0,2018-12-25 21:30:00,4200_Square-One_90_Abba
177,I,231.0,322.5,102666.66666666667,2018-12-25 21:53:00,4213_Adventure-Holiday_25_Abba
178,C,370.65,245.0,16666.666666666668,2018-12-25 22:30:00,3859_Winter-Time_25_Beta
179,E,198.45,1350.0,69666.66666666667,2018-12-25 22:43:00,3859_Winter-Time_25_Beta
180,E,-238.35,3022.5,72333.33333333333,2018-12-25 22:58:00,4046_At-least-a-week_25_FPV
181,H,374.85,5182.5,273333.3333333333,2018-12-25 23:18:00,3859_Winter-Time_25_Beta
182,E,432.6,6047.5,95666.66666666667,2018-12-25 23:24:00,3976_At-least-a-week_90_FPV
183,C,80.85000000000001,107.5,14333.333333333334,2018-12-26 00:27:00,4046_At-least-a-week_25_FPV
184,E,-21.0,3022.5,80666.66666666667,2018-12-26 00:34:00,3859_Winter-Time_25_Beta
185,I,-64.05,322.5,27666.666666666668,2018-12-26 00:44:00,4195_Receptionist_90_Abba
186,C,43.05,215.0,24666.666666666668,2018-12-26 01:30:00,3859_Winter-Time_25_Beta
187,G,-176.4,17.5,333.3333333333333,2018-12-26 01:39:00,3859_Winter-Time_25_Beta
188,C,-32.550000000000004,107.5,14666.666666666666,2018-12-26 01:55:00,3964_TheView_25_FPV
189,H,-18.900000000000002,595.0,195000.0,2018-12-26 02:32:00,3859_Winter-Time_25_Beta
190,G,317.09999999999997,17.5,333.3333333333333,2018-12-26 02:57:00,3964_TheView_25_FPV
191,C,-60.9,55.0,10000.0,2018-12-26 03:27:00,3859_Winter-Time_25_Beta
192,C,47.25,55.0,9000.0,2018-12-26 03:56:00,3968_Roomservice_25_FPV
193,C,-110.25,517.5,109666.66666666667,2018-12-26 04:14:00,3844_Winter-Time_90_Beta
194,G,19.95,0.0,333.3333333333333,2018-12-26 04:21:00,3974_Roomservice_90_FPV
195,E,49.35,65.0,19333.333333333332,2018-12-26 04:39:00,3976_At-least-a-week_90_FPV
196,C,65.10000000000001,3022.5,62000.0,2018-12-26 06:27:00,3844_Winter-Time_90_Beta
197,C,145.95000000000002,1727.5,143666.66666666666,2018-12-26 06:49:00,3859_Winter-Time_25_Beta
198,C,17.849999999999998,1080.0,75000.0,2018-12-26 06:56:00,3964_TheView_25_FPV
199,K,68.25,432.5,11666.666666666666,2018-12-26 07:20:00,3964_TheView_25_FPV
200,E,-47.25,387.5,5666.666666666667,2018-12-26 07:25:00,3844_Winter-Time_90_Beta
201,E,215.25,562.5,16333.333333333334,2018-12-26 07:53:00,3844_Winter-Time_90_Beta
202,N,157.5,1080.0,44000.0,2018-12-26 08:17:00,3859_Winter-Time_25_Beta
203,H,-16.8,647.5,72666.66666666667,2018-12-26 08:26:00,3968_Roomservice_25_FPV
204,C,-87.15,1295.0,0.0,2018-12-26 08:54:00,4039_Winter-Time_60_Beta
205,E,141.75,755.0,61666.666666666664,2018-12-26 10:04:00,3968_Roomservice_25_FPV
206,C,506.1,2375.0,50666.666666666664,2018-12-26 10:27:00,3953_Projector_90_FPV
207,K,93.45,1942.5,24000.0,2018-12-26 10:52:00,3836_TheView_90_FPV
208,D,-323.40000000000003,647.5,10000.0,2018-12-26 10:59:00,3836_TheView_90_FPV
209,J,-456.75,690.0,10000.0,2018-12-26 11:36:00,4025_Tram_60_FPV
210,M,2013.9,0.0,1505000.0,2018-12-26 11:54:00,3953_Projector_90_FPV
211,H,-254.1,5400.0,115666.66666666667,2018-12-26 12:03:00,3836_TheView_90_FPV
212,F,-208.95,322.5,54666.666666666664,2018-12-26 12:22:00,3844_Winter-Time_90_Beta
213,D,204.75,647.5,13666.666666666666,2018-12-26 12:44:00,3844_Winter-Time_90_Beta
214,G,562.8000000000001,97.5,10000.0,2018-12-26 12:58:00,3859_Winter-Time_25_Beta
215,C,497.7,2375.0,30333.333333333332,2018-12-26 13:14:00,3844_Winter-Time_90_Beta
216,F,931.35,322.5,120666.66666666667,2018-12-26 13:53:00,3859_Winter-Time_25_Beta
217,M,135.45000000000002,15765.0,650666.6666666666,2018-12-26 14:19:00,3836_TheView_90_FPV
218,F,169.05,322.5,137666.66666666666,2018-12-26 14:38:00,4046_At-least-a-week_25_FPV
219,L,222.6,702.5,23333.333333333332,2018-12-26 15:09:00,3844_Winter-Time_90_Beta
220,E,-163.79999999999998,410.0,19666.666666666668,2018-12-26 16:59:00,3859_Winter-Time_25_Beta
221,F,565.9499999999999,322.5,72333.33333333333,2018-12-26 17:30:00,4025_Tram_60_FPV
222,C,-105.0,325.0,4666.666666666667,2018-12-26 17:44:00,3859_Winter-Time_25_Beta
223,G,134.4,195.0,13666.666666666666,2018-12-26 17:57:00,3844_Winter-Time_90_Beta
224,E,273.0,3022.5,70666.66666666667,2018-12-26 18:35:00,4046_At-least-a-week_25_FPV
225,J,-211.05,310.0,27666.666666666668,2018-12-26 18:58:00,3859_Winter-Time_25_Beta
226,K,476.7,6480.0,44333.333333333336,2018-12-26 19:22:00,3859_Winter-Time_25_Beta
227,K,-82.95,1295.0,76333.33333333333,2018-12-26 02:05:00,3974_Roomservice_90_FPV
228,A,-45.15,322.5,13000.0,2018-12-26 21:11:00,4213_Adventure-Holiday_25_Abba
229,A,812.7,6480.0,144000.0,2018-12-26 21:16:00,4046_At-least-a-week_25_FPV
230,K,35.699999999999996,11230.0,77000.0,2018-12-26 21:28:00,3844_Winter-Time_90_Beta
231,G,241.5,97.5,5000.0,2018-12-26 21:38:00,3859_Winter-Time_25_Beta
232,I,150.15,322.5,80666.66666666667,2018-12-26 22:50:00,4189_OneItemPieceOfPaper_25_Abba
233,H,-478.8,5182.5,197666.66666666666,2018-12-26 23:03:00,4046_At-least-a-week_25_FPV
234,C,151.20000000000002,3672.5,213000.0,2018-12-26 23:25:00,4046_At-least-a-week_25_FPV
235,I,582.75,322.5,199666.66666666666,2018-12-26 23:46:00,4213_Adventure-Holiday_25_Abba
236,E,486.15,0.0,32666.666666666668,2018-12-27 00:50:00,3844_Winter-Time_90_Beta
237,E,8.4,3022.5,91666.66666666667,2018-12-27 00:56:00,3964_TheView_25_FPV
238,H,530.25,3887.5,161666.66666666666,2018-12-27 01:07:00,3844_Winter-Time_90_Beta
239,H,102.9,1942.5,158666.66666666666,2018-12-27 01:31:00,3859_Winter-Time_25_Beta
240,C,210.0,107.5,9000.0,2018-12-27 01:55:00,3968_Roomservice_25_FPV
241,A,-96.6,322.5,1333.3333333333333,2018-12-27 02:10:00,4195_Receptionist_90_Abba
242,E,35.699999999999996,42.5,24333.333333333332,2018-12-27 02:27:00,3968_Roomservice_25_FPV
243,A,-22.05,1620.0,64666.666666666664,2018-12-27 02:32:00,3859_Winter-Time_25_Beta
244,C,121.8,215.0,9666.666666666666,2018-12-27 02:45:00,3844_Winter-Time_90_Beta
245,C,100.8,1187.5,136333.33333333334,2018-12-27 02:50:00,3968_Roomservice_25_FPV
246,E,-3.15,302.5,37000.0,2018-12-27 03:01:00,3844_Winter-Time_90_Beta
247,C,27.3,55.0,23333.333333333332,2018-12-27 03:10:00,3859_Winter-Time_25_Beta
248,E,212.1,605.0,34333.333333333336,2018-12-27 04:21:00,4025_Tram_60_FPV
249,C,44.1,260.0,113666.66666666667,2018-12-27 04:26:00,3859_Winter-Time_25_Beta
250,E,-46.2,150.0,26333.333333333332,2018-12-27 04:46:00,3859_Winter-Time_25_Beta
251,C,2.1,55.0,20000.0,2018-12-27 05:08:00,4046_At-least-a-week_25_FPV
252,E,161.70000000000002,65.0,23000.0,2018-12-27 05:15:00,3844_Winter-Time_90_Beta
253,J,55.65,150.0,30333.333333333332,2018-12-27 05:39:00,3844_Winter-Time_90_Beta
254,C,-57.75,55.0,15000.0,2018-12-27 05:48:00,3859_Winter-Time_25_Beta
255,G,54.6,0.0,3666.6666666666665,2018-12-27 05:59:00,3844_Winter-Time_90_Beta
256,K,76.64999999999999,432.5,8666.666666666666,2018-12-27 06:21:00,3859_Winter-Time_25_Beta
257,C,66.14999999999999,1727.5,134666.66666666666,2018-12-27 06:36:00,4046_At-least-a-week_25_FPV
258,E,-159.6,280.0,20000.0,2018-12-27 06:50:00,3859_Winter-Time_25_Beta
259,C,72.45,1727.5,133666.66666666666,2018-12-27 06:55:00,3859_Winter-Time_25_Beta
260,F,193.2,322.5,49333.333333333336,2018-12-27 07:15:00,3859_Winter-Time_25_Beta
261,C,470.4,2160.0,71333.33333333333,2018-12-27 07:44:00,3844_Winter-Time_90_Beta
262,F,-44.1,322.5,56666.666666666664,2018-12-27 08:08:00,3964_TheView_25_FPV
263,E,37.800000000000004,387.5,5000.0,2018-12-27 08:13:00,3836_TheView_90_FPV
264,G,-78.75,32.5,6000.0,2018-12-27 08:56:00,3859_Winter-Time_25_Beta
265,C,185.85,432.5,10333.333333333334,2018-12-27 09:08:00,4039_Winter-Time_60_Beta
266,L,-91.35,497.5,11333.333333333334,2018-12-27 09:13:00,4039_Winter-Time_60_Beta
267,F,1024.8,322.5,22000.0,2018-12-27 09:23:00,3859_Winter-Time_25_Beta
268,I,257.25,322.5,13000.0,2018-12-27 09:30:00,4195_Receptionist_90_Abba
269,G,27.3,97.5,4333.333333333333,2018-12-27 09:37:00,3859_Winter-Time_25_Beta
270,I,274.05,322.5,155666.66666666666,2018-12-27 10:14:00,4189_OneItemPieceOfPaper_25_Abba
271,F,10.5,322.5,106000.0,2018-12-27 10:25:00,4046_At-least-a-week_25_FPV
272,A,119.7,322.5,11000.0,2018-12-27 10:51:00,4202_Matched_90_Abba
273,G,-39.9,195.0,17666.666666666668,2018-12-27 10:56:00,3844_Winter-Time_90_Beta
274,E,-312.90000000000003,195.0,21333.333333333332,2018-12-27 11:02:00,3964_TheView_25_FPV
275,F,585.9,322.5,106000.0,2018-12-27 11:07:00,3974_Roomservice_90_FPV
276,J,317.09999999999997,260.0,10000.0,2018-12-27 11:26:00,4046_At-least-a-week_25_FPV
277,F,302.40000000000003,322.5,61333.333333333336,2018-12-27 11:39:00,3859_Winter-Time_25_Beta
278,I,195.3,322.5,1666.6666666666667,2018-12-27 12:20:00,4213_Adventure-Holiday_25_Abba
279,F,100.8,322.5,68333.33333333333,2018-12-27 12:25:00,3968_Roomservice_25_FPV
280,F,325.5,322.5,40333.333333333336,2018-12-27 12:31:00,4025_Tram_60_FPV
281,I,471.45,322.5,46333.333333333336,2018-12-27 12:38:00,4200_Square-One_90_Abba
282,J,-193.2,387.5,13666.666666666666,2018-12-27 12:44:00,3968_Roomservice_25_FPV
283,I,157.5,322.5,4000.0,2018-12-27 13:05:00,4195_Receptionist_90_Abba
